Time,wb_x_vel,base_x_vel_flt,arm_x_vel_syn,x_wb,x_hat,x_des_w,dx_hat
2.00000000003444e-05,-0,-0.000167923,-0.000167923,-0.1522211,-0,-0,0.00618359288594225
0.0100289999999996,-0,-0.0001707175,-0.0001707175,-0.1521012,5.18771539917574e-05,-0,0.00518771539917574
0.0200020000000001,-0,-0.0001730195,-0.0001730195,-0.1519111,0.000106483230313962,-0,0.00546060763222049
0.0299939999999996,-0,-0.0001763308,-0.0001763308,-0.1521581,0.000176742031231656,-0,0.00702588009176941
0.0399959999999997,-0,-0.0001848188,-0.0001848188,-0.1518127,0.000219951032913847,-0,0.00432090016821907
0.0499960000000004,-0,-0.000189846,-0.000189846,-0.1519526,0.000283298854012008,-0,0.00633478210981605
0.0599929999999997,-0,-0.000196806,-0.000196806,-0.1518933,0.000333833567413609,-0,0.00505347134016018
0.0700009999999997,-0,-0.0002009458,-0.0002009458,-0.1519602,0.000379470344350417,-0,0.0045636776936808
0.079992,-0,-0.0002022895,-0.0002022895,-0.1519819,0.000410783463329376,-0,0.00313131189789587
0.0899919999999998,-0,-0.000201355,-0.000201355,-0.1517962,0.000429933350141775,-0,0.00191498868123994
0.0999929999999998,-0,-0.0001985845,-0.0001985845,-0.1517256,0.000461423502428315,-0,0.00314901522865392
0.109989,-0,-0.0001980031,-0.0001980031,-0.1516567,0.000502599636354041,-0,0.00411761339257268
0.119996,-0,-0.0001955521,-0.0001955521,-0.1518,0.000551034514266842,-0,0.00484348779128004
0.129996,-0,-0.0001916112,-0.0001916112,-0.1518,0.000582123480390436,-0,0.00310889661235941
0.139994,-0,-0.0001891042,-0.0001891042,-0.1515771,0.000602039180629754,-0,0.00199157002393175
0.149992,-0,-0.0001860106,-0.0001860106,-0.1515473,0.000638640749957674,-0,0.00366015693279201
0.159991,-0,-0.0001816446,-0.0001816446,-0.1514109,0.000681956679606612,-0,0.00433159296489386
0.169997,-0,-0.0001762918,-0.0001762918,-0.1512645,0.000738192139977863,-0,0.00562354603712507
0.179992,-0,-0.0001717321,-0.0001717321,-0.1512407,0.000809803364155387,-0,0.00716112241775236
0.189989,-0,-0.0001663215,-0.0001663215,-0.151229,0.000883094265500856,-0,0.0073290901345469
0.199988,-0,-0.0001602756,-0.0001602756,-0.1511873,0.000950431024417615,-0,0.00673367589167595
