Time,wb_x_vel,base_x_vel_flt,arm_x_vel_syn,x_wb,x_hat,x_des_w,dx_hat
0.519999,0.1,-0.0001498205,0.1001498205,-0.218979,0.00259726095179759,-0,0.00547145415619094
0.530046,0.1,-0.000103556,0.100103556,-0.2187408,0.00265610121289922,0.001,0.00588402611016303
0.54003,0.1,7.643529e-05,0.09992356471,-0.2189244,0.00273591317352854,0.002,0.00798119606293215
0.549991,0.1,0.0004201042,0.0995798958,-0.21868,0.00279681777333742,0.003,0.0060904599808881
0.560034,0.1,0.000906841,0.099093159,-0.2188085,0.00286878189032052,0.004,0.00719641169830976
0.570033,0.1,0.001517943,0.098482057,-0.2187274,0.00292413715557369,0.005,0.00553552652531672
0.58003,0.1,0.002236459,0.097763541,-0.2185896,0.00297469948816379,0.006,0.00505623325901057
0.589993,0.1,0.003047041,0.096952959,-0.2183581,0.00303237226718277,0.007,0.00576727790189829
0.600026,0.1,0.003935817,0.096064183,-0.2178486,0.00311176749535815,0.008,0.00793952281753788
0.610031,0.1,0.004890263,0.095109737,-0.2174517,0.00324686443829021,0.009,0.0135096942932059
0.620035,0.1,0.005899091,0.094100909,-0.2168494,0.00343482467690005,0.01,0.0187960238609837
0.629998,0.1,0.006952148,0.093047852,-0.2162343,0.00369062662823566,0.011,0.0255801951335613
0.640028,0.1,0.008040313,0.091959687,-0.2155333,0.0040150028660463,0.012,0.0324376237810634
0.650027,0.1,0.009155415,0.090844585,-0.2140139,0.00441003230564067,0.013,0.0395029439594378
0.660026,0.1,0.01029015,0.08970985,-0.2131208,0.00495661897819862,0.014,0.054658667255795
0.670008,0.1,0.01143799,0.08856201,-0.212005,0.00560758693034607,0.015,0.0650967952147449
0.68003,0.1,0.01259315,0.08740685,-0.2110859,0.00635424368669708,0.016,0.074665675635101
0.69,0.1,0.01375049,0.08624951,-0.2098623,0.00716122201158297,0.017,0.0806978324885888
0.699993,0.1,0.01490546,0.08509454,-0.207939,0.00803868340684418,0.018,0.0877461395261211
0.70999,0.1,0.01605408,0.08394592,-0.207939,0.00905847101407047,0.019,0.101978760722628
0.72,0.1,0.01719284,0.08280716,-0.207939,0.010031439357805,0.02,0.0972968343734561
0.729994,0.1,0.01831869,0.08168131,-0.2052718,0.010877665886877,0.021,0.0846226529071931
0.739989,0.1,0.01942899,0.08057101,-0.2035833,0.0118606385995136,0.022,0.0982972712636691
0.749993,0.1,0.02052146,0.07947854,-0.2026115,0.012979110704234,0.023,0.111847210472039
0.759989,0.1,0.02159417,0.07840583,-0.201726,0.0141410479222243,0.024,0.116193721799022
0.77,0.1,0.02264547,0.07735453,-0.2006985,0.0152911226829596,0.025,0.11500747607353
0.779997,0.1,0.02367401,0.07632599,-0.1997653,0.0164209647207388,0.026,0.112984203777928
0.790037,0.1,0.02467865,0.07532135,-0.1988159,0.0175189112394822,0.027,0.109794651874334
0.799991,0.1,0.02565851,0.07434149,-0.1970764,0.0185849204756138,0.028,0.106600923613164
0.80999,0.1,0.02661288,0.07338712,-0.1961287,0.0197070576454831,0.029,0.112213716986926
0.819994,0.1,0.02754123,0.07245877,-0.1952892,0.0208340084172322,0.03,0.112695077174917
0.83,0.1,0.0284432,0.0715568,-0.1944824,0.0219305998447075,0.031,0.109659142747531
0.839995,0.1,0.02931857,0.07068143,-0.1944824,0.0229808201046358,0.032,0.105022025992824
0.849993,0.1,0.03016722,0.06983278,-0.1920947,0.0238961075888942,0.033,0.0915287484258371
0.860024,0.1,0.03098918,0.06901082,-0.1920947,0.0249070248390114,0.034,0.101091725011727
0.869993,0.1,0.03178455,0.06821545,-0.1901196,0.0258510993957475,0.035,0.0944074556736095
0.880003,0.1,0.03255353,0.06744647,-0.1893142,0.0268740918371155,0.036,0.102299244136796
0.89,0.1,0.03329637,0.06670363,-0.1884254,0.0279076718296351,0.037,0.103357999251966
0.899993,0.1,0.03401342,0.06598658,-0.186658,0.0289289106437147,0.038,0.102123881407958
0.909992,0.1,0.03470506,0.06529494,-0.1857735,0.0300229361800751,0.039,0.109402553636037
0.91999,0.1,0.03537169,0.06462831,-0.1848937,0.0311255480215175,0.04,0.110261184144243
0.929997,0.1,0.03601379,0.06398621,-0.1840487,0.0322064560571865,0.041,0.108090803566894
0.939996,0.1,0.03663185,0.06336815,-0.1832288,0.0332506777860896,0.042,0.104422172890316
0.949995,0.1,0.03722639,0.06277361,-0.1814247,0.0342527769473388,0.043,0.100209916124917
0.959992,0.1,0.03779796,0.06220204,-0.1805552,0.0353202875813815,0.044,0.106751063404276
0.969994,0.1,0.03834709,0.06165291,-0.179545,0.0363943438938684,0.045,0.107405631248681
0.979993,0.1,0.03887437,0.06112563,-0.1788624,0.0374628464028607,0.046,0.106850250899231
0.990001,0.1,0.03938039,0.06061961,-0.1771594,0.038485876731543,0.047,0.102303032868239
0.999999,0.1,0.03986574,0.06013426,-0.1763426,0.0395597120783152,0.048,0.107383534677214
1.009991,0.1,0.04033104,0.05966896,-0.1754685,0.0406271975234474,0.049,0.106748544513221
1.019991,0.1,0.04077692,0.05922308,-0.1745847,0.0416694718562218,0.05,0.104227433277439
1.029992,0.1,0.041204,0.058796,-0.1737634,0.0426818358102896,0.051,0.101236395406779
1.040004,0.1,0.04161289,0.05838711,-0.1722146,0.0436587333807817,0.052,0.0976897570492076
1.050002,0.1,0.04200421,0.05799579,-0.1712511,0.0446794308299255,0.053,0.10206974491438
1.060024,0.1,0.04237857,0.05762143,-0.1702002,0.0457121133036088,0.054,0.103268247368339
1.069994,0.1,0.04273656,0.05726344,-0.1694451,0.0467505400062585,0.055,0.10384267026497
1.079993,0.1,0.04307879,0.05692121,-0.1686369,0.0477596038596997,0.056,0.100906385344115
1.089998,0.1,0.04340583,0.05659417,-0.1670278,0.0487324029967133,0.057,0.0972799137013557
1.100003,0.1,0.04371827,0.05628173,-0.166055,0.0497555461788023,0.058,0.102314318208905
1.109996,0.1,0.04401665,0.05598335,-0.1651932,0.0507943458434233,0.059,0.103879966462098
1.119991,0.1,0.04430149,0.05569851,-0.1651932,0.0518196239255255,0.06,0.102527808210219
1.130025,0.1,0.04457328,0.05542672,-0.1635903,0.0527274426457315,0.061,0.0907818720206074
1.139993,0.1,0.04483253,0.05516747,-0.1619702,0.0536555088456317,0.062,0.0928066199900134
1.150016,0.1,0.04507973,0.05492027,-0.1611911,0.0546653553562056,0.063,0.10098465105739
1.160035,0.1,0.04531534,0.05468466,-0.160358,0.0556856874644742,0.064,0.102033210826857
1.170024,0.1,0.04553983,0.05446017,-0.160358,0.0566891066733389,0.065,0.100341920886477
1.180024,0.1,0.04575361,0.05424639,-0.1586715,0.0575759170039199,0.066,0.0886810330580956
1.190034,0.1,0.04595709,0.05404291,-0.1569267,0.0584945923257271,0.067,0.0918675321807192
1.200005,0.1,0.04615069,0.05384931,-0.1569267,0.0595146440155815,0.068,0.102005168985445
1.210008,0.1,0.04633482,0.05366518,-0.1554073,0.0604694434124186,0.069,0.0954799396837054
1.22003,0.1,0.04650987,0.05349013,-0.1546546,0.0614539079398747,0.07,0.0984464527456095
1.230025,0.1,0.04667624,0.05332376,-0.1538409,0.062425365755803,0.071,0.0971457815928369
1.24,0.1,0.04683433,0.05316567,-0.1529473,0.063372584283857,0.0720000000000001,0.094721852805401
1.249994,0.1,0.0469845,0.0530155,-0.150977,0.0643017052185457,0.0730000000000001,0.0929120934688651
1.260002,0.1,0.04712712,0.05287288,-0.1503111,0.0653327623045135,0.0740000000000001,0.103105708596777
1.269996,0.1,0.04726255,0.05273745,-0.1493424,0.0663689365509836,0.0750000000000001,0.103617424647017
1.279996,0.1,0.04739115,0.05260885,-0.1485375,0.0673985859551927,0.0760000000000001,0.102964940420906
1.289993,0.1,0.04751323,0.05248677,-0.1477478,0.0683996451259317,0.0770000000000001,0.100105917073906
1.299995,0.1,0.04762912,0.05237088,-0.1468354,0.069363675193018,0.0780000000000001,0.0964030067086255
1.309994,0.1,0.0477391,0.0522609,-0.1452273,0.0703040464746708,0.0790000000000001,0.0940371281652838
1.320003,0.1,0.04784348,0.05215652,-0.1443242,0.0713038431069685,0.0800000000000001,0.0999796632297668
1.329997,0.1,0.04794253,0.05205747,-0.1435593,0.0723184495630862,0.0810000000000001,0.101460645611771
1.339996,0.1,0.04803653,0.05196347,-0.1418112,0.0733114048309147,0.0820000000000001,0.0992955267828503
1.349999,0.1,0.0481257,0.0518743,-0.1418112,0.0743739682804704,0.0830000000000001,0.10625634495557
1.360028,0.1,0.0482103,0.0517897,-0.1401459,0.0753523833510101,0.0840000000000001,0.0978415070539671
1.370001,0.1,0.04829055,0.05170945,-0.1393002,0.076365030369065,0.0850000000000001,0.101264701805492
1.380004,0.1,0.04836667,0.05163333,-0.1385444,0.0773736212106836,0.0860000000000001,0.100859084161856
1.389997,0.1,0.04843886,0.05156114,-0.1376756,0.078351760765229,0.0870000000000001,0.0978139554545439
1.4,0.1,0.04850732,0.05149268,-0.1359499,0.0793029957730953,0.0880000000000001,0.0951235007866313
1.410028,0.1,0.04857224,0.05142776,-0.1350952,0.0803236113516368,0.0890000000000001,0.102061557854147
1.420026,0.1,0.04863382,0.05136618,-0.1343382,0.0813560659821522,0.0900000000000001,0.10324546305154
1.430004,0.1,0.04869221,0.05130779,-0.133494,0.0823627492576247,0.0910000000000001,0.100668327547253
1.440034,0.1,0.04874758,0.05125242,-0.1318208,0.0833388959408652,0.0920000000000001,0.0976146683240505
1.450026,0.1,0.04880009,0.05119991,-0.1310073,0.0843744621134228,0.0930000000000001,0.103556617255761
1.459995,0.1,0.04884988,0.05115012,-0.1301111,0.0854113540473424,0.0940000000000001,0.103689193391956
1.469995,0.1,0.0488971,0.0511029,-0.129325,0.0864321749136549,0.0950000000000001,0.102082086631249
1.479994,0.1,0.04894187,0.05105813,-0.1285342,0.0874190608714242,0.0960000000000001,0.0986885957769336
1.490004,0.1,0.04898434,0.05101566,-0.1268392,0.088368173161398,0.0970000000000001,0.094911228997377
1.499998,0.1,0.04902462,0.05097538,-0.1260241,0.089378723884577,0.0980000000000001,0.101055072317906
1.509994,0.1,0.04906283,0.05093717,-0.1251522,0.0903943966872009,0.0990000000000001,0.101567280262386
1.519992,0.1,0.04909909,0.05090091,-0.1243373,0.0913954074217815,0.1,0.100101073458059
1.529992,0.1,0.04913351,0.05086649,-0.1235667,0.0923683528878128,0.101,0.097294546603128
1.540005,0.1,0.04916618,0.05083382,-0.1219021,0.0933055138706655,0.102,0.0937160982852727
1.549998,0.1,0.0491972,0.0508028,-0.1209856,0.0943030500049986,0.103,0.0997536134333096
1.559995,0.1,0.04922665,0.05077335,-0.1198667,0.0953175034604773,0.104,0.101445345547866
1.569995,0.1,0.04925461,0.05074539,-0.1193486,0.0963491805745738,0.105,0.103167711409654
1.579995,0.1,0.04928117,0.05071883,-0.1184579,0.0973320062396254,0.106,0.0982825665051584
1.590006,0.1,0.0493064,0.0506936,-0.1177481,0.0982814939228071,0.107,0.0949487683181731
1.600002,0.1,0.04933037,0.05066963,-0.1159829,0.099188864463567,0.108,0.0907370540759837
1.609997,0.1,0.04935318,0.05064682,-0.1152171,0.100167773938321,0.109,0.0978909474754295
1.619994,0.1,0.04937488,0.05062512,-0.114307,0.101154502705202,0.11,0.0986728766881001
1.629993,0.1,0.04939554,0.05060446,-0.1134501,0.102135016963182,0.111,0.0980514257979524
1.639995,0.1,0.04941523,0.05058477,-0.1117493,0.103097987169666,0.112,0.0962970206483749
1.650003,0.1,0.04943401,0.05056599,-0.1111456,0.104130603400921,0.113,0.103261623125518
1.659997,0.1,0.04945192,0.05054808,-0.1102706,0.105146993857325,0.114,0.101639045640381
1.669997,0.1,0.04946902,0.05053098,-0.1094747,0.106139381774208,0.115,0.0992387916883899
1.679998,0.1,0.04948536,0.05051464,-0.1086574,0.10709840845338,0.116,0.0959026679171155
1.689995,0.1,0.04950097,0.05049903,-0.1075791,0.108025783791551,0.117,0.0927375338171318
1.700006,0.1,0.04951591,0.05048409,-0.1059113,0.10895366611828,0.118,0.0927882326729201
1.710005,0.1,0.04953021,0.05046979,-0.1059113,0.109959584992426,0.119,0.100591887414543
1.720001,0.1,0.0495439,0.0504561,-0.1042541,0.110891297149023,0.12,0.093171215659715
1.729995,0.1,0.04955702,0.05044298,-0.1033743,0.111865915564521,0.121,0.0974618415498015
1.739992,0.1,0.04956961,0.05043039,-0.1025139,0.112848159516801,0.122,0.0982243952280064
1.750005,0.1,0.04958168,0.05041832,-0.1007956,0.113819266553891,0.123,0.0971107037090398
1.76,0.1,0.04959328,0.05040672,-0.09996113,0.114863889393793,0.124,0.10446228399015
1.769995,0.1,0.04960443,0.05039557,-0.09914383,0.1159174352537,0.125,0.105354585990771
1.780005,0.1,0.04961517,0.05038483,-0.09826097,0.116948065646184,0.126,0.103063039248396
1.790013,0.1,0.04962553,0.05037447,-0.09743318,0.117950981691033,0.127,0.100291604484835
1.800001,0.1,0.04963553,0.05036447,-0.09578928,0.118921139748388,0.128,0.0970158057355378
1.810039,0.1,0.04964521,0.05035479,-0.09578928,0.119947231666358,0.129,0.102609191796973
1.819993,0.1,0.04965458,0.05034542,-0.09491619,0.120886991598081,0.13,0.0939759931722952
1.829994,0.1,0.04966367,0.05033633,-0.09336289,0.121779361021516,0.131,0.0892369423434785
1.839994,0.1,0.04967251,0.05032749,-0.09250125,0.122719835924088,0.132,0.0940474902572601
1.849993,0.1,0.04968111,0.05031889,-0.09068998,0.123672037486221,0.133,0.0952201562132733
1.860005,0.1,0.04968949,0.05031051,-0.08983621,0.124720040853806,0.134,0.104800336758563
1.870008,0.1,0.04969766,0.05030234,-0.08901104,0.125788683030634,0.135,0.106864217682788
1.879998,0.1,0.04970565,0.05029435,-0.08813318,0.126838878057997,0.136,0.105019502736273
1.890028,0.1,0.04971346,0.05028654,-0.08722528,0.127860706067917,0.137,0.102182800992039
1.900025,0.1,0.0497211,0.0502789,-0.08548006,0.128856007480603,0.138,0.0995301412685586
1.910026,0.1,0.0497286,0.0502714,-0.08486971,0.129918162584973,0.139,0.106215510436978
1.920004,0.1,0.04973594,0.05026406,-0.08423099,0.130960340119952,0.14,0.104217753497901
1.929998,0.1,0.04974315,0.05025685,-0.08341059,0.131948723501286,0.141,0.0988383381334171
1.939996,0.1,0.04975022,0.05024978,-0.08161172,0.132893415040286,0.142,0.0944691539000292
1.949999,0.1,0.04975717,0.05024283,-0.08077582,0.133908489208797,0.143,0.101507416851028
1.960039,0.1,0.04976398,0.05023602,-0.07974943,0.134934441433596,0.144,0.102595222479914
1.970035,0.1,0.04977068,0.05022932,-0.07892283,0.135963746666596,0.145,0.102930523300023
1.980002,0.1,0.04977725,0.05022275,-0.07807669,0.136971262444079,0.146,0.100751577748286
1.990038,0.1,0.04978371,0.05021629,-0.07642683,0.137950148560207,0.147,0.0978886116128154
2.000044,0.1,0.04979005,0.05020995,-0.07642683,0.138986514049474,0.148,0.103636548926665
